SIREN,NOM,HAB,DEP
200071181,Poix-de-Picardie  ,2425,80
200071181,Prouzel  ,561,80
200071181,Quesnoy-sur-Airaines  ,439,80
200071181,Quevauvillers  ,1104,80
200071181,Rambures  ,348,80
200071181,Riencourt  ,183,80
200071181,Saint-Aubin-Montenoy  ,227,80
200071181,Saint-Aubin-Rivière  ,112,80
200071181,Saint-Germain-sur-Bresle  ,208,80
200071181,Saint-Léger-sur-Bresle  ,81,80
200071181,Saint-Maulvis  ,274,80
200071181,Sainte-Segrée  ,59,80
200071181,Saulchoy-sous-Poix  ,73,80
200071181,Senarpont  ,652,80
200071181,Sentelie  ,215,80
200071181,Tailly  ,60,80
200071181,Thieulloy-l'Abbaye  ,389,80
200071181,Thieulloy-la-Ville  ,151,80
200071181,Thoix  ,146,80
200071181,Velennes  ,149,80
200071181,Vergies  ,170,80
200071181,Villeroy  ,192,80
200071181,Villers-Campsart  ,155,80
200071181,Vraignes-lès-Hornoy  ,99,80
200071181,Warlus  ,226,80
200071181,Woirel  ,63,80
248000499,Aubigny  ,538,80
248000499,Baizieux  ,211,80
248000499,Bonnay  ,239,80
248000499,Bresle  ,127,80
248000499,Bussy-lès-Daours  ,394,80
248000499,Cachy  ,287,80
248000499,Cerisy  ,537,80
248000499,Chipilly  ,171,80
248000499,Corbie  ,6386,80
248000499,Daours  ,796,80
248000499,Fouilloy  ,1845,80
248000499,Franvillers  ,514,80
248000499,Gentelles  ,650,80
248000499,Hamelet  ,640,80
248000499,Heilly  ,437,80
248000499,Hénencourt  ,195,80
248000499,Lahoussoye  ,472,80
248000499,Lamotte-Brebière  ,222,80
248000499,Lamotte-Warfusée  ,712,80
248000499,Le Hamel  ,504,80
248000499,Marcelcave  ,1270,80
248000499,Méricourt-l'Abbé  ,614,80
248000499,Morcourt  ,328,80
248000499,Pont-Noyelles  ,847,80
248000499,Ribemont-sur-Ancre  ,675,80
248000499,Sailly-Laurette  ,321,80
248000499,Sailly-le-Sec  ,355,80
248000499,Treux  ,241,80
248000499,Vaire-sous-Corbie  ,294,80
248000499,Vaux-sur-Somme  ,313,80
248000499,Vecquemont  ,551,80
248000499,Villers-Bretonneux  ,4536,80
248000499,Warloy-Baillon  ,765,80
200070951,Agenville  ,90,80
200070951,Autheux  ,123,80
200070951,Authieule  ,415,80
200070951,Barly  ,174,80
200070951,Bavelincourt  ,100,80
200070951,Béalcourt  ,104,80
200070951,Beaucourt-sur-l'Hallue  ,295,80
200070951,Beaumetz  ,225,80
200070951,Beauquesne  ,1370,80
200070951,Beauval  ,2089,80
200070951,Béhencourt  ,327,80
200070951,Bernâtre  ,37,80
200070951,Bernaville  ,1079,80
200070951,Berneuil  ,266,80
200070951,Boisbergues  ,76,80
200070951,Bonneville  ,340,80
200070951,Bouquemaison  ,510,80
200070951,Brévillers  ,111,80
200070951,Candas  ,1113,80
200070951,Coisy  ,351,80
200070951,Contay  ,366,80
200070951,Conteville  ,220,80
200070951,Domesmont  ,42,80
200070951,Domléger-Longvillers  ,305,80
200070951,Doullens  ,6238,80
200070951,Épécamps  ,5,80
200070951,Fieffes-Montrelet  ,342,80
