comm_insee;NOM_COM;Nb_log_pp_2022;Prop_logvac_pp_2A_010121
1378;Saint-Maurice-de-Gourdans;1 215;1
1379;Saint-Maurice-de-Rémens;;
1380;Saint-Nizier-le-Bouchoux;378;8,2
1383;Saint-Paul-de-Varax;582;1,9
1384;Saint-Rambert-en-Bugey;1 262;7,8
1385;Saint-Rémy;;
1386;Saint-Sorlin-en-Bugey;578;2,4
1388;Saint-Trivier-de-Courtes;512;7,6
1389;Saint-Trivier-sur-Moignans;774;3,2
1393;Sandrans;;
1396;Sault-Brénaz;461;3,7
1398;Savigneux;;
1399;Ségny;1 137;5,1
1401;Sergy;;
1402;Sermoyer;372;8,3
1403;Serrières-de-Briord;601;3,3
1407;Seyssel;613;9
1408;Simandre-sur-Suran;362;7,5
1412;Sulignat;;
1415;Talissieu;;
1416;Tenay;753;15,5
1419;Thoiry;2 807;1,9
1420;Thoissey;646;3,4
1421;Torcieu;398;5,5
1422;Tossiat;607;4
1424;Tramoyes;704;2,7
1426;Val-Revermont;1 200;2,6
1427;Trévoux;2 702;1,2
1430;Varambon;300;5,3
1431;Vaux-en-Bugey;621;2,7
1435;Versonnex;817;3,2
1436;Vesancy;284;4,6
1441;Vieu-d'Izenave;314;4,8
1443;Villars-les-Dombes;1 936;0,9
1444;Villebois;661;4,7
1445;Villemotier;268;6
1446;Villeneuve;;
1447;Villereversure;587;7,5
1448;Villes;;
1450;Villieu-Loyes-Mollon;1 612;2,1
1451;Viriat;2 723;4,4
1452;Virieu-le-Grand;617;6,2
1453;Arvière-en-Valromey;452;6
1454;Virignin;452;2,9
1457;Vonnas;1 310;2,8
2001;Abbécourt;233;5,2
2003;Acy;464;4,3
2011;Ambleny;569;4,4
2014;Amigny-Rouy;341;4,4
2018;Anizy-le-Grand;1 095;2,2
2020;Any-Martin-Rieux;;
2028;Athies-sous-Laon;1 078;1
2031;Aubenton;372;12,1
2049;Barisis-aux-Bois;361;3
2053;Vallées en Champagne;365;9,3
2057;Beaurevoir;563;3,2
2058;Beaurieux;345;4,1
2059;Beautor;947;7,4
2064;Belleu;1 160;2,7
2065;Bellicourt;266;4,5
2083;Beuvardes;367;3,5
2084;Bézu-le-Guéry;;
2089;Billy-sur-Aisne;541;2
2093;Blérancourt;590;2,5
2095;Bohain-en-Vermandois;2 634;7,9
2103;Boué;525;4
2106;Bourg-et-Comin;308;4,5
2109;La Bouteille;228;6,6
2110;Braine;845;4,9
2112;Brancourt-le-Grand;;
2114;Brasles;733;4,9
2119;Brécy;;
2126;Brunehamel;240;7,9
2128;Bruyères-et-Montbérault;722;2,2
2131;Bucy-le-Long;848;1,9
2133;Bucy-lès-Pierrepont;207;5,8
2135;Buironfosse;481;6,7
2141;La Capelle;746;6,8
2160;Chaourse;252;5,2
2163;Charly-sur-Marne;1 130;7,3
2165;Charmes;743;2,7
2167;Chassemy;380;3,4
2168;Château-Thierry;6 185;4,1
2173;Chauny;4 793;3,2
2174;Chavignon;356;3,7
2186;Chézy-sur-Marne;697;4,4
2187;Chierry;556;2,5
2195;Ciry-Salsogne;391;3,3
2203;Coincy;567;5,5
2209;Condé-en-Brie;349;9,2
2218;Coucy-lès-Eppes;;
2220;Coulonges-Cohan;;
2226;Courmelles;776;2,2
2237;Crécy-sur-Serre;595;6,9
2238;Crépy;759;2,9
2239;Crézancy;474;5,1
2242;Crouttes-sur-Marne;364;10,2
2243;Crouy;1 157;3,4
2245;Cuffies;;
2246;Cugny;;
2260;Danizy;;
2261;Dercy;;
2264;Dizy-le-Gros;378;6,6
2279;Épaux-Bézu;;
2286;Esquéhéries;421;4,8
2290;Essômes-sur-Marne;1 255;2,4
2292;Étampes-sur-Marne;609;3,4
2293;Étaves-et-Bocquiaux;262;6,5
2295;Étréaupont;423;5,4
2296;Étreillers;480;2,7
2298;Étreux;611;4,7
2304;La Fère;1 108;11,6
2305;Fère-en-Tardenois;1 252;7,9
2306;La Ferté-Chevresis;284;10,2
2307;La Ferté-Milon;928;5
2312;La Flamengrie;451;3,8
2315;Flavy-le-Martel;682;3,2
2318;Folembray;657;4,1
2321;Fontaine-lès-Vervins;380;3,2
