"";"site_id";"nature";"nom_prodcartofriches";"site_statut";"geom"
"9269";"22232_14236";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-2.87172913985522, 48.630011988346)
"9270";"22113_2984";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-3.43622444412516, 48.750989501878)
"9271";"22215_14757";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-2.79062583405852, 48.4827640074498)
"9272";"22054_18625";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-2.43244198288024, 48.6173715475316)
"9273";"22261_15570";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-2.40115129138675, 48.5105426571765)
"9274";"22046_19665";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-2.52449648710958, 48.2507188798275)
"9275";"22046_19666";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-2.52449648710958, 48.2507188798275)
"9276";"22046_19668";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-2.52529132339112, 48.2515642855435)
"9277";"22372_16036";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-2.82625564727428, 48.5295836149373)
"9278";"22239_1336";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-2.12799731040623, 48.3578838381482)
"9279";"22255_19589";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-2.65319698163063, 48.1731675122871)
"9280";"22240_19663";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-2.25800391686309, 48.2506855392106)
"9281";"22219_19677";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-2.71841704386912, 48.2605739898847)
"9282";"22300_19719";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-2.82291953722556, 48.2868847140717)
"9283";"22171_20004";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-2.80199206322854, 48.4390641012055)
"9284";"22118_20041";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-2.03190481425509, 48.4590712115099)
"9285";"22035_20666";"fond friche";"Appel à projet Fonds Friches";"friche avec projet";c(-1.96923509471013, 48.4166036996056)
"9286";"22278_1456";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-2.76170429832477, 48.5161127028997)
"9287";"22262_20951";"fond friche";"Appel à projet Fonds Friches";"friche avec projet";c(-2.91472253411079, 48.4040386008338)
"9288";"22093_21231";"fond friche";"Appel à projet Fonds Friches";"friche avec projet";c(-2.51090127562779, 48.4694691301153)
"9289";"22371_21818";"fond friche";"Appel à projet Fonds Friches";"friche avec projet";c(-2.28838421371989, 48.1997047901823)
"9290";"22113_2888";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-3.46203314288868, 48.7246674043417)
"9291";"22093_4093";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-2.55636807785022, 48.556257720277)
"9292";"22224_2898";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-3.50465369797931, 48.7310118480787)
"9293";"22265_2903";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-3.3859793221215, 48.7290814591079)
"9294";"22228_4094";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-3.44439452685225, 48.5599756495771)
"9295";"22144_5787";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-2.82828424822948, 48.5151711564907)
"9296";"22372_7276";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-2.85073282355085, 48.5234486958078)
"9297";"22145_8060";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-2.24870980335762, 48.3749212529283)
"9298";"22218_10011";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-3.23243189384505, 48.8651682407143)
"9299";"22208_8138";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-2.0431077261292, 48.3234383331015)
"9300";"22152_9396";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-3.22406618076754, 48.7803980809868)
"9301";"22136_9853";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-2.75389704011652, 48.1743707692826)
"9302";"22182_12772";"MTE";"Site Basias ou Basol vérifié par le Cerema en 2020";"inconnu";c(-2.91686625912201, 48.5503510527063)
"9303";"22265_14188";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-3.38578421742588, 48.74719178375)
"9304";"22182_16497";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-2.91469534159082, 48.5320298165766)
"9305";"22278_15491";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-2.76868061097382, 48.5064063688924)
"9306";"22172_15672";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-2.23521285146507, 48.5215720556164)
"9307";"22372_16494";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-2.82989828787769, 48.5313956970074)
"9308";"27051_2115";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(0.777535951285792, 49.0803752366672)
"9309";"22213_16507";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-2.00310496722117, 48.5322440783224)
"9310";"22187_16638";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-2.82004932640479, 48.5345581220686)
