"";"site_id";"nature";"nom_prodcartofriches";"site_statut";"geom"
"1658";"78490_9654";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(1.94501934742797, 48.7990864276636)
"1659";"78193_2768";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(1.96238811037632, 48.6917463023966)
"1660";"67473_19927";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(7.48736371652669, 48.5725302259522)
"1661";"97220_7646";"Ademe";"Friche étude Ademe 2021, intéressante pour du PV au sol";"inconnu";c(-60.8887154193374, 14.5084819803916)
"1662";"97225_10960";"Ademe";"Friche étude Ademe 2021, intéressante pour du PV au sol";"inconnu";c(-61.1926671960485, 14.7737587145477)
"1663";"76462_14400";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(1.44169105678512, 49.7313760921615)
"1664";"97204_10962";"Ademe";"Friche étude Ademe 2021, intéressante pour du PV au sol";"inconnu";c(-61.1736698865449, 14.7094908004031)
"1665";"80791_1449";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(2.22848756737856, 49.8392298377385)
"1666";"78490_9650";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(1.94623479772707, 48.7953901546971)
"1667";"34113_1463";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(3.70947099237927, 43.5015777343977)
"1668";"93071_4198";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(2.51951424312096, 48.9265125003574)
"1669";"59122_9454";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(3.22992349104187, 50.1788457425253)
"1670";"78311_5289";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(2.18548296468268, 48.9206657078486)
"1671";"78143_5353";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(2.09093530520542, 48.7366354695866)
